Code,Family,Label,Has parents
2A,Common,"2 - White, Other",
2B,Common,"2 - White British, Other",
5A,Common,"5 -  Asian, Black, White, Mixed, Chinese inc Other",
5B,Common,"5 - Asian, Black, White, Mixed, Other",
16A,Common,16 - ONS 2001,TRUE
18A,Common,18 - ONS 2011,TRUE
4A,Custom,"4 - Asian, Black, White, Other",
4B,Custom,"4 - Black, Mixed, White, Other",
5C,Custom,"5 - Asian, Black, White British, White other, Other",TRUE
5D,Custom,"5 - Black, Indian, Pakistani and Bangladeshi, White, Other",TRUE
6A,Custom,"6 - Asian, Black, Chinese, Mixed, White, Other",
6B,Custom,"6 - Asian, Black, Mixed, White British, White other, Other",TRUE
6C,Custom,"6 - Asian, Black African, Black Caribbean, Black other, White, Other",TRUE
6D,Custom,"6 - Black, Indian, Pakistani and Bangladeshi, Mixed, White, Other",TRUE
7A,Custom,"7 - Asian, Black, Chinese, Mixed, White British, White other, Other",TRUE
8A,Custom,"8 - Indian, Pakistani and Bangladeshi, Asian other, Black, Mixed, White British, White other, Other",TRUE
10A,Custom,"10 - Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other",TRUE
12A,Custom,"12 - Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black, Mixed, White British, White other, Other, Arab, Gypsy/Traveller/Irish Traveller",TRUE
18B,Custom,18 - ONS 2001 plus Irish Traveller and Gypsy/Roma,TRUE
19A,Custom,19 - ONS 2001 plus Irish Traveller and Gypsy/Roma and Unmatched,TRUE
NA,Not applicable,Not applicable,
