"organisation_type","name","id","abbreviations","other_names"
"Executive agency","Criminal Injuries Compensation Appeals Panel for Northern Ireland","EA829","",""
"Executive agency","Criminal Injuries Compensation Authority","PB297","CICA",""
"Executive agency","Crown Commercial Service","EA1015","CCS","Crown Commercial Service"
"Executive agency","Defence Communication Services Agency","EA813","",""
"Executive agency","Defence Electronics and Components Agency","EA1113","DECA","Defence Electronics & Components Agency"
"Executive agency","Defence Science and Technology Laboratory","EA42","Dstl",""
"Executive agency","Department of Culture, Arts and Leisure Northern Ireland","DA1146","DCAL",""
"Executive agency","Driver and Vehicle Licensing Agency","EA74","DVLA","Driver & Vehicle Licensing Agency"
"Executive agency","Driver and Vehicle Standards Agency","EA570","DVSA","Driver & Vehicle Standards Agency"
"Executive agency","Education Funding Agency","EA242","EFA","Education Funding Agency"
"Executive agency","Education and Skills Funding Agency","EO1216","ESFA","Education & Skills Funding Agency"
"Executive agency","Environment and Heritage Service","EA788","",""
"Executive agency","FCO Services","EA61","FCOS",""
"Executive agency","Forensic Science Northern Ireland","EA696","",""
"Executive agency","Forest Enterprise (England)","EA55","FEE",""
"Executive agency","Forest Research","EA54","",""
"Executive agency","Government Internal Audit Agency","EA1084","GIAA","Government Internal Audit Agency"
"Executive agency","HM Courts & Tribunals Service","EA73","HMCTS","HM Courts & Tribunals Service"
"Executive agency","HM Courts Service","EA601","","HM Court Service"
"Executive agency","HM Prison Service","EA321","HMPS",""
"Executive agency","Her Majesty’s Prison and Probation Service","EA1213","HMPPS","Her Majesty’s Prison & Probation Service"
"Executive agency","Intellectual Property Office","EA34","IPO","Intellectual Property Office"
"Executive agency","Labour Relations Agency","EA752","",""
"Executive agency","Land Registers of Northern Ireland","EA700","",""
"Executive agency","Legal Aid Agency","EA556","LAA","Legal Aid Agency"
"Executive agency","Maritime and Coastguard Agency","EA78","MCA","Maritime & Coastguard Agency"
"Executive agency","Medicines and Healthcare products Regulatory Agency","EA63","MHRA","Medicines & Healthcare products Regulatory Agency"
"Executive agency","Met Office","EA46","",""
"Executive agency","National College for School Leadership","EA929","NCSL",""
"Executive agency","National College for Teaching and Leadership","EA541","NCTL","National College for Teaching & Leadership"
"Executive agency","National Measurement Office","EA33","NMO","National Measurement Office"
"Executive agency","National Measurement and Regulation Office","EA1109","NMRO",""
"Executive agency","National Offender Management Service","EA70","NOMS","National Offender Management Service"
"Executive agency","Northern Ireland Child Support Agency","EA810","",""
"Executive agency","Northern Ireland Prison Service","EA797","",""
"Executive agency","Northern Ireland Social Security Agency","EA675","",""
"Executive agency","Northern Ireland Statistics and Research Agency","EA701","NISRA",""
"Executive agency","Office of the Public Guardian","EA72","OPG","Office of the Public Guardian"
"Executive agency","Ordnance Survey of Northern Ireland","EA695","",""
"Executive agency","Pension Service","OT845","",""
"Executive agency","Pension, Disability and Carers Service","EA924","",""
"Executive agency","Planning Inspectorate","EA39","The Planning Inspectorate","Planning Inspectorate"
"Executive agency","Public Health England","EA480","PHE","Public Health England"
"Executive agency","Queen Elizabeth II Conference Centre","EA40","QEIICC","Queen Elizabeth II Conference Centre"
"Executive agency","Rivers Agency","EA630","",""
"Executive agency","Royal Parks","EA41","Royal Parks",""
"Executive agency","Rural Payments Agency","EA58","RPA","Rural Payments Agency"
"Executive agency","Scottish Sports Council","EA764","",""
"Executive agency","Service Children's Education","EA49","SCE",""
"Executive agency","Skills Funding Agency","EA86","SFA","Skills Funding Agency"
"Executive agency","Social Security Agency","EA756","",""
"Executive agency","Standards and Testing Agency","EA243","STA","Standards & Testing Agency"
"Executive agency","The Food and Environment Research Agency","EA56","Fera","The Food and Environment Research Agency"
"Executive agency","The Insolvency Service","EA32","the Insolvency Service","The Insolvency Service"
"Executive agency","UK Border Agency","EA67","UKBA",""
"Executive agency","UK Debt Management Office","EA82","DMO","United Kingdom Debt Management Office"
"Executive agency","UK Hydrographic Office","EA51","UKHO",""
"Executive agency","UK Space Agency","EA31","",""
"Executive agency","Valuation Office Agency","EA87","VOA",""
"Executive agency","Valuation and Lands Agency","EA687","",""
"Executive agency","Vehicle Certification Agency","EA80","VCA","Vehicle Certification Agency"
"Executive agency","Veterinary Medicines Directorate","EA60","VMD","Veterinary Medicines Directorate"
"Executive agency","Water Service (Northern Ireland)","EA689","",""
"Executive agency","Wilton Park","EA62","Wilton Park",""
"Executive agency","Youth Justice Agency of Northern Ireland","EA697","",""
"Other body","Academy for Justice Commissioning","OT1025","",""
"Other body","Academy for Social Justice Commissioning","OT1208","","Academy for Social Justice Commissioning"
"Other body","Accelerated Access Review","OT1137","AAR","Accelerated Access Review"
"Other body","Administration of Radioactive Substances Advisory Committee","PB523","ARSAC","Administration of Radioactive Substances Advisory Committee"
"Other body","Administrative Justice and Tribunals Council Welsh Committee","OT1012","",""
"Other body","Advisory Committee on Animal Feedingstuffs","PB573","ACAF","Advisory Committee on Animal Feedingstuffs"
"Other body","Advisory Committee on Business Appointments","PB336","ACOBA",""
"Other body","Advisory Committee on Clinical Excellence Awards","OT522","ACCEA","Advisory Committee on Clinical Excellence Awards"
"Other body","Advisory Committee on Conscientious Objectors","PB392","ACCO","Advisory Committee on Conscientious Objectors"
"Other body","Advisory Committee on Novel Foods and Processes","PB574","ACNFP","Advisory Committee on Novel Foods and Processes"
"Other body","Advisory Committee on Releases to the Environment","PB209","ACRE","Advisory Committee on Releases to the Environment"
"Other body","Advisory Committee on the Microbiological Safety of Food","PB575","ACMSF","Advisory Committee on the Microbiological Safety of Food"
"Other body","Advisory Committees on Justices of the Peace","PB437","ACJP","Advisory Committees on Justices of the Peace"
"Other body","Advisory Council on the Misuse of Drugs","PB271","ACMD","Advisory Council on the Misuse of Drugs"
"Other body","Advisory Group on Military Medicine","PB393","AGoMM","Advisory Group on Military Medicine"
"Other body","Advisory, Conciliation and Arbitration Service","PB28","Acas",""
"Other body","Agri-Food and Biosciences Institute (Northern Ireland)","PB1072","","Agri-Food and Biosciences Institute"
"Other body","Agricultural Dwelling House Advisory Committees (x16)","PB421","ADHAC",""
"Other body","Agricultural Wages Committee","PB420","AWC","Agricultural Wages Committee (x15)"
"Other body","Agriculture and Horticulture Development Board","OT204","AHDB","Agriculture and Horticulture Development Board"
"Other body","Air Accidents Investigation Branch","OT248","AAIB","Air Accidents Investigation Branch"
"Other body","Ancient Monuments Board for Scotland","OT988","",""
"Other body","Animals in Science Committee","PB534","ASC",""
"Other body","Armagh Observatory and Planetarium","OT769","",""
"Other body","Armed Forces' Pay Review Body","PB394","AFPRB",""
"Other body","Arts Council England","PB165","",""
"Other body","Arts Council of Wales","OT731","",""
"Other body","Arts and Humanities Research Council","PB123","AHRC",""
"Other body","Ashington Education Action Zone","OT861","",""
"Other body","Azelle Rodney Inquiry","OT972","",""
"Other body","BPDTS Ltd","OT1236","",""
"Other body","Baha Mousa Inquiry","OT963","",""
"Other body","Bank of England","OT1016","","Bank of England"
"Other body","Barker Review of Land Use Planning","OT1006","",""
"Other body","Barrow Education Action Zone","OT766","",""
"Other body","Bedford Education Action Zone","OT662","",""
"Other body","Better Regulation Delivery Office","OT569","BRDO","Better Regulation Delivery Office"
"Other body","Big Lottery Fund","PB188","BIG",""
"Other body","Billy Wright Inquiry","OT951","",""
"Other body","Biometrics Commissioner","OT548","","Biometrics Commissioner"
"Other body","Biometrics and Forensics Ethics Group","PB1222","","Biometrics and Forensics Ethics Group"
"Other body","Biotechnology and Biological Sciences Research Council","PB317","BBSRC","Biotechnology & Biological Sciences Research Council"
"Other body","Bloody Sunday Inquiry","OT944","",""
"Other body","Board of Banking Supervision","OT996","",""
"Other body","Board of Inland Revenue","OT594","",""
"Other body","Board of Trustees of the Royal Botanic Gardens Kew","PB508","","Board of Trustees of the Royal Botanic Gardens Kew"
"Other body","Bolton Education Action Zone","OT640","",""
"Other body","Bona Vacantia","OT564","BVD",""
"Other body","Border Force","OT535","BF",""
"Other body","Boundary Commission for England","PB337","BCE",""
"Other body","Boundary Commission for Northern Ireland","OT428","BCNI",""
"Other body","Boundary Commission for Scotland","OT431","BCS","Boundary Commission for Scotland"
"Other body","Boundary Commission for Wales","OT432","BCW","Boundary Commission for Wales"
"Other body","Bridgwater Education Action Zone","OT684","",""
"Other body","Bristol Education Action Zone","OT666","",""
"Other body","British Business Bank","OT1148","BBB","British Business Bank"
"Other body","British Cattle Movement Service","OT1051","BCMS",""
"Other body","British Council","OT313","British Council",""
"Other body","British Film Institute","PB189","BFI",""
"Other body","British Forces Post Office","OT878","",""
"Other body","British Hallmarking Council","PB124","BHC","British Hallmarking Council"
"Other body","British Library","PB166","BL","The British Library"
"Other body","British Museum","PB167","BM",""
"Other body","British Pharmacopoeia Commission","PB524","","British Pharmacopoeia"
"Other body","British Transport Police Authority","PB461","BTPA",""
"Other body","Broadmoor Hospital investigation","OT533","","Broadmoor Hospital investigation"
"Other body","Broads Authority","OT216","",""
"Other body","Building Regulations Advisory Committee","PB160","BRAC","Building Regulations Advisory Committee"
"Other body","CESG","OT563","CESG",""
"Other body","Cabinet Office Board","OT1201","","Cabinet Office Board"
"Other body","Camborne, Pool and Redruth Education Action Zone","OT670","",""
"Other body","Capital for Enterprise Limited","PB147","CfEL","Capital for Enterprise Ltd"
"Other body","Care Quality Commission","PB251","CQC","Care Quality Commission"
"Other body","Careers Wales","OT1102","",""
"Other body","Central Advisory Committee on Compensation","PB1194","CAC Compensation","Central Advisory Committee on Compensation"
"Other body","Central Advisory Committee on Pensions and Compensation","PB395","CAC Pensions and Compensation","Central Advisory Committee on Pensions and Compensation"
"Other body","Centre for Connected and Autonomous Vehicles","OT1223","CCAV",""
"Other body","Centre for Defence Enterprise","OT1064","CDE",""
"Other body","Centre for the Protection of National Infrastructure","OT567","CPNI","Centre for the Protection of National Infrastructure"
"Other body","Certification Officer","PB139","Certification Officer",""
"Other body","Chemical and Biological Defence Establishment","OT992","",""
"Other body","Chevening Scholarship Programme","OT492","Chevening",""
"Other body","Chief Fire and Rescue Adviser","OT504","CFRA","CFRA"
"Other body","Civil Justice Council","PB293","CJC",""
"Other body","Civil Nuclear Constabulary","OT1063","CNC",""
"Other body","Civil Nuclear Police Authority","PB194","CNPA","Civil Nuclear Police Authority"
"Other body","Civil Procedure Rule Committee","PB440","CPRC",""
"Other body","Civil Service Board","OT1200","","Civil Service Board"
"Other body","Civil Service Commission","PB366","CSC",""
"Other body","Civil Service Fast Stream","OT1121","",""
"Other body","Civil Service Fast Track Apprenticeship","OT1167","",""
"Other body","Civil Service Reform","OT1055","CSR","Civil Service reform"
"Other body","Civil Service Resourcing","OT1076","",""
"Other body","Clacton and Harwich Education Action Zone","OT677","",""
"Other body","Coal Authority","PB195","","Coal Authority"
"Other body","College of Policing","OT1235","","College of Policing"
"Other body","Commission for Architecture and the Built Environment (CABE)","PB842","",""
"Other body","Commission for Social Care Inspection","OT824","",""
"Other body","Commission on Human Medicines","PB525","CHM",""
"Other body","Commissioner for Public Appointments","OT517","","Commissioner for Public Appointments"
"Other body","Committee on Climate Change","PB196","CCC","Committee on Climate Change"
"Other body","Committee on Fuel Poverty","PB1172","CFP","Committee on Fuel Poverty"
"Other body","Committee on Mutagenicity of Chemicals in Food, Consumer Products and the Environment","PB526","COM","Committee on Mutagenicity of Chemicals in Food, Consumer Products and the Environment"
"Other body","Committee on Radioactive Waste Management","PB191","CoRWM","Committee on Radioactive Waste Management"
"Other body","Committee on Standards in Public Life","PB158","CSPL",""
"Other body","Committee on Toxicity of Chemicals in Food, Consumer Products and the Environment","PB576","COT","Committee on Toxicity of Chemicals in Food, Consumer Products and the Environment"
"Other body","Commonwealth Scholarship Commission in the UK","PB226","CSC",""
"Other body","Community Development Foundation","OT760","",""
"Other body","Company Names Tribunal","PB1062","",""
"Other body","Competition Service","PB318","CS",""
"Other body","Construction Industry Training Board","PB126","CITB","Construction Industry Training Board"
"Other body","Consumer Council for Postal Services","OT732","",""
"Other body","Consumer Council for Water","PB198","CCWater","Consumer Council for Water"
"Other body","Cooksey Review","OT1008","",""
"Other body","Corby Education Action Zone","OT665","",""
"Other body","Council for Catholic Maintained Schools","OT778","",""
"Other body","Council for Science and Technology","PB121","CST","Council for Science and Technology"
"Other body","Counter Fraud and Security Management Service","OT690","",""
"Other body","Court of Judicature of Northern Ireland","OT780","",""
"Other body","Covent Garden Market Authority","OT214","CGMA",""
"Other body","Coventry Education Action Zone","OT671","",""
"Other body","Creative Scotland","OT964","",""
"Other body","Criminal Cases Review Commission","IM320","CCRC",""
"Other body","Criminal Injuries Compensation Appeals Panel","OT837","",""
"Other body","Criminal Justice Inspection Northern Ireland","OT772","",""
"Other body","Criminal Procedure Rule Committee","PB516","","Criminal Procedure Rule Committee"
"Other body","Dartmoor National Park Authority","OT217","DNPA","Dartmoor National Park Authority"
"Other body","Deepcut Review","OT773","",""
"Other body","Defence Academy of the United Kingdom","OT405","DA","Defence Academy of the United Kingdom"
"Other body","Defence Equipment and Support","OT495","DE&S","Defence Equipment and Support"
"Other body","Defence Infrastructure Organisation","OT496","DIO",""
"Other body","Defence Intelligence and Security Centre","OT720","",""
"Other body","Defence Nuclear Safety Committee","PB396","DNSC","Defence Nuclear Safety Committee"
"Other body","Defence Safety Authority","OT1191","DSA","Defence Safety Authority"
"Other body","Defence Scientific Advisory Council","PB397","DSAC","Defence Scientific Advisory Council"
"Other body","Defence Sixth Form College","OT411","DSFC",""
"Other body","Defence and Security Accelerator","OT1206","","Defence and Security Accelerator"
"Other body","Defence and Security Media Advisory Committee","OT1153","DSMA","Defence and Security Media Advisory Committee"
"Other body","Defence, Press and Broadcasting Advisory Committee","OT408","DPBAC","Defence, Press and Broadcasting Advisory Committee"
"Other body","Department for Communities (Northern Ireland)","OT1173","","Department for Communities (Northern Ireland)"
"Other body","Department for Infrastructure (Northern Ireland)","OT1176","","Department for Infrastructure (Northern Ireland)"
"Other body","Department for International Trade Defence & Security Organisation","OT1026","DIT DSO","Department for International Trade Defence & Security Organisation"
"Other body","Department for the Economy (Northern Ireland)","OT1174","","Department for the Economy (Northern Ireland)"
"Other body","Department of Agriculture, Environment and Rural Affairs (Northern Ireland)","OT1178","",""
"Other body","Department of Education (Northern Ireland)","D585","",""
"Other body","Department of Finance (Northern Ireland)","OT1177","",""
"Other body","Department of Health (Northern Ireland)","OT1175","",""
"Other body","Department of Justice (Northern Ireland)","D1073","","Department of Justice (Northern Ireland)"
"Other body","Design Council","OT893","",""
"Other body","Digital, data and technology professions","OT1182","","Digital, Data and Technology Profession"
"Other body","Directly Operated Railways Limited","PB459","DOR","Directly Operated Railways Limited"
"Other body","Disabled People’s Employment Corporation","PB1152","DPEC",""
"Other body","Disabled Persons Transport Advisory Committee","PB247","DPTAC","Disabled Persons Transport Advisory Committee (DPTAC)"
"Other body","Disclosure and Barring Service","PB509","DBS","Disclosure & Barring Service"
"Other body","District Valuer Services (DVS)","OT1080","DVS",""
"Other body","Dounreay Site Restoration Ltd","OT1238","","Dounreay Site Restoration Ltd"
"Other body","Drinking Water Inspectorate","OT425","DWI",""
"Other body","East West Railway Company","OT1233","EWRC",""
"Other body","Eastern Health and Social Services Board","OT865","",""
"Other body","Ebbsfleet Development Corporation","PB1154","","Ebbsfleet Development Corporation"
"Other body","Economic and Social Research Council","PB129","ESRC","Economic and Social Research Council"
"Other body","Efficiency and Reform Group","OT507","ERG",""
"Other body","Eliasch Review","OT1010","",""
"Other body","Engineering Construction Industry Training Board","PB131","ECITB","Engineering Construction Industry Training Board"
"Other body","Engineering and Physical Sciences Research Council","PB130","EPSRC","Engineering and Physical Sciences Research Council"
"Other body","English Institute of Sport","OT957","",""
"Other body","Environment Agency","EA199","EA",""
"Other body","Equality Commission for Northern Ireland","OT779","",""
"Other body","Equality and Human Rights Commission","OT269","EHRC",""
"Other body","Estyn","DA1105","",""
"Other body","Exmoor National Park Authority","OT219","Exmoor","Exmoor National Park Authority"
"Other body","Export Control Organisation","OT557","ECJU","Export Control Joint Unit"
"Other body","Export Guarantees Advisory Council","PB357","EGAC",""
"Other body","Family Justice Council","PB441","FJC",""
"Other body","Family Procedure Rule Committee","PB442","FPRC",""
"Other body","Financial Conduct Authority","OT1085","FCA",""
"Other body","Financial Services Organisation","OT1082","",""
"Other body","Financial Services Trade and Investment Board","OT1169","FSTIB",""
"Other body","Fire Authority for Northern Ireland","OT759","",""
"Other body","Fire Service College","EA37","FSC",""
"Other body","Fisheries Conservancy Board for Northern Ireland","OT807","",""
"Other body","Fleet Air Arm Museum","PB311","","Fleet Air Arm Museum"
"Other body","Food Safety Promotion Board","PB870","",""
"Other body","Forensic Science Regulator","OT536","FSR","Forensic Science Regulator"
"Other body","Forest Service","OT825","","Department of Agriculture and Rural Development"
"Other body","Fuel Poverty Advisory Group","PB192","FPAG","Fuel Poverty Advisory Group"
"Other body","Further and Higher Education Funding Councils for Wales","OT1000","",""
"Other body","Gambling Commission","PB169","GC",""
"Other body","Gangmasters and Labour Abuse Authority","PB200","GLA|GLAA","Gangmasters Licensing Authority|Gangmasters Licensing Authority|Gangmasters and Labour Abuse Authority"
"Other body","Geffrye Museum","PB170","GMus",""
"Other body","General Advisory Committee on Science","PB577","GACS","General Advisory Committee on Science"
"Other body","General Consumer Council for Northern Ireland","OT809","",""
"Other body","Government Chemist","OT1061","Government Chemist",""
"Other body","Government Commercial Function","OT1116","GCF",""
"Other body","Government Communication Service","OT1034","GCS","Government Communication Service"
"Other body","Government Communications Headquarters","OT306","GCHQ",""
"Other body","Government Corporate Finance Profession","OT1050","GCFP",""
"Other body","Government Digital Service","OT1056","GDS",""
"Other body","Government Economic Service","OT1037","",""
"Other body","Government Equalities Office","OT506","GEO","Government Equalities Office"
"Other body","Government Estates Management","OT549","GEM","Government Estates Management"
"Other body","Government Finance Profession","OT1035","",""
"Other body","Government IT Profession","OT1053","","Government IT profession"
"Other body","Government Knowledge & Information Management Profession","OT1048","","Government knowledge & information management profession"
"Other body","Government Legal Service","OT1033","GLS",""
"Other body","Government Occupational Psychology Profession","OT1049","","Government occupational psychology profession"
"Other body","Government Office for Science","OT555","GO-Science","Government Office for Science"
"Other body","Government Operational Research Service","OT1042","","Government operational research service"
"Other body","Government Planning Inspectors","OT1045","","Government planning inspectors"
"Other body","Government Planning Profession","OT1044","",""
"Other body","Government Property Profession","OT1039","",""
"Other body","Government Science & Engineering Profession","OT1040","","Government Science & Engineering"
"Other body","Government Security Profession","OT1070","",""
"Other body","Government Social Research Profession","OT1043","","Government social research profession"
"Other body","Government Statistical Service","OT1041","",""
"Other body","Government Tax Profession","OT1046","",""
"Other body","Government Veterinary Services","OT1047","",""
"Other body","Great Britain-China Centre","PB426","GBCC","Great Britain China Centre"
"Other body","Groceries Code Adjudicator","OT551","GCA",""
"Other body","H.M. Inspectorate of Explosives for Northern Ireland","OT686","",""
"Other body","HM Crown Prosecution Service Inspectorate","OT347","HMCPSI","HM Crown Prosecution Service Inspectorate"
"Other body","HM Inspectorate of Constabulary and Fire & Rescue Services","OT281","HMIC|HMICFRS","HM Inspectorate of Constabulary"
"Other body","HM Inspectorate of Prisons","IM324","","Her Majesty's Inspectorate of Prisons"
"Other body","HM Inspectorate of Probation","IM325","","Her Majesty's Inspectorate of Probation"
"Other body","HM Nautical Almanac Office","OT1023","HMNAO",""
"Other body","HM Passport Office","EA66","HM Passport Office","HM Passport Office"
"Other body","Health Education England","OT539","HEE","Health Education England"
"Other body","Health Research Authority","OT483","HRA","The Health Research Authority"
"Other body","Health and Safety Executive","PB207","HSE","Health and Safety Executive"
"Other body","Health and Social Care Information Centre","OT538","HSCIC","Health and Social Care Information Centre"
"Other body","Healthcare UK","OT559","Healthcare UK",""
"Other body","Heart of Slough Education Action Zone","OT738","",""
"Other body","Her Majesty's Government Communications Centre","OT1209","HMGCC",""
"Other body","Her Majesty's Magistrates Courts Service Inspectorate","OT997","",""
"Other body","Heritage Lottery Fund (administered by the NHMF)","PC390","HLF","Heritage Lottery Fund"
"Other body","High Speed Two (HS2) Limited","PB460","HS2 Ltd","High Speed Two Limited"
"Other body","Higher Education Funding Council for England","PB120","HEFCE","Higher Education Funding Council for England"
"Other body","Higher Education Statistics Agency","OT1088","HESA","Higher Education Statistics Agency"
"Other body","Highways England","EA1114","Highways England",""
"Other body","Historic England","PB1164","HE",""
"Other body","Homes England","PB1232","",""
"Other body","Homes and Communities Agency","PB161","HCA","Homes & Communities Agency"
"Other body","Horniman Public Museum and Public Park Trust","PB171","Horniman","Horniman Museum"
"Other body","Horserace Betting Levy Board","PB118","HBLB",""
"Other body","House of Lords Appointments Commission","IM341","HOLAC","House of Lords Appointments Commission"
"Other body","Housing Ombudsman","PB372","HOS",""
"Other body","Human Fertilisation and Embryology Authority","PB253","HFEA","Human Fertilisation and Embryology Authority"
"Other body","Human Resources Profession","OT1036","","HR Profession"
"Other body","Human Tissue Authority","PB254","HTA","Human Tissue Authority"
"Other body","Hybu Cig Cymru - Meat Promotion Wales","OT681","",""
"Other body","ICL Inquiry","OT925","",""
"Other body","Identity and Passport Service","OT885","",""
"Other body","Immigration Enforcement","OT1069","IE",""
"Other body","Imperial War Museum","PB172","IWM",""
"Other body","Independent Advisory Panel on Deaths in Custody","PB443","IAPDC","IAPDC"
"Other body","Independent Agricultural Appeals Panel","PB210","IAAP","Independent Agricultural Appeals Panel"
"Other body","Independent Case Examiner","OT579","ICE",""
"Other body","Independent Chief Inspector of Borders and Immigration","OT284","ICIBI","Independent Chief Inspector of Borders and Immigration"
"Other body","Independent Commission for Aid Impact","IM335","ICAI","Independent Commission for Aid Impact"
"Other body","Independent Commission on Freedom of Information","PB1149","","Independent Commission on Freedom of Information"
"Other body","Independent Complaints Reviewer","OT1099","ICR",""
"Other body","Independent Dormant Assets Commission","PB1185","",""
"Other body","Independent Family Returns Panel","OT1122","IFRP",""
"Other body","Independent Medical Expert Group","PB1017","IMEG",""
"Other body","Independent Monitoring Boards of Prisons, Immigration, Removal Centres and Short Term Holding Rooms","OT444","IMB","Independent Monitoring Boards"
"Other body","Independent Parliamentary Standards Authority","PB1219","IPSA","Independent Parliamentary Standards Authority"
"Other body","Independent Police Complaints Commission","PB456","IPCC",""
"Other body","Independent Reconfiguration Panel","PB527","IRP","Independent Reconfiguration Panel"
"Other body","Independent Review of Police Officer and Staff Remuneration and Conditions","OT619","",""
"Other body","Independent Reviewer of Terrorism Legislation","OT511","Independent Reviewer","Independent Reviewer of Terrorism Legislation"
"Other body","Industrial Development Advisory Board","OT152","IDAB","Industrial Development Advisory Board"
"Other body","Industrial Injuries Advisory Council","PB231","IIAC",""
"Other body","Information Commissioner's Office","PB298","ICO",""
"Other body","Information Services Division (Scotland)","OT1074","ISD Scotland","Information Services Division Scotland"
"Other body","Infrastructure and Projects Authority","OT1166","IPA","Infrastructure and Projects Authority"
"Other body","Innovate UK","PB1078","Innovate UK",""
"Other body","Insolvency Rules Committee","PB445","IRC",""
"Other body","Institute for Apprenticeships","PB1214","IFA","Institute for Apprenticeships"
"Other body","Intelligence Analysis","OT1052","",""
