"organisation_type","name","id","abbreviations","other_names"
"Ministerial department","Attorney General's Office","D1","AGO","Attorney General's Office"
"Ministerial department","Cabinet Office","D2","",""
"Ministerial department","Department for Business, Energy & Industrial Strategy","D1198","BEIS","Department for Business, Energy & Industrial Strategy"
"Ministerial department","Department for Business, Enterprise and Regulatory Reform","D611","",""
"Ministerial department","Department for Children, Schools and Families","D609","",""
"Ministerial department","Department for Constitutional Affairs","D587","",""
"Ministerial department","Department for Digital, Culture, Media and Sport","D5","DCMS","Department for Digital, Culture Media & Sport|Department for Culture, Media & Sport|Department for Digital, Culture, Media & Sport|Digital, Culture, Media and Sport"
"Ministerial department","Department for Education","D6","DfE","Department for Education"
"Ministerial department","Department for Employment and Learning","D854","",""
"Ministerial department","Department for Environment, Food & Rural Affairs","D7","Defra","Department for Environment Food & Rural Affairs"
"Ministerial department","Department for Exiting the European Union","D1197","DExEU","Department for Exiting the European Union"
"Ministerial department","Department for International Development","D8","DFID","Department for International Development"
"Ministerial department","Department for International Trade","D1196","DIT","Department for International Trade"
"Ministerial department","Department for Regional Development","D747","",""
"Ministerial department","Department for Social Development","D748","",""
"Ministerial department","Department for Transport","D9","DfT","Department for Transport"
"Ministerial department","Department for Work and Pensions","D10","DWP","Department for Work & Pensions"
"Ministerial department","Department of Agriculture and Rural Development","D753","",""
"Ministerial department","Department of Culture, Arts and Leisure","D853","",""
"Ministerial department","Department of Enterprise, Trade and Investment","D750","",""
"Ministerial department","Department of Finance and Personnel for Northern Ireland","D605","",""
"Ministerial department","Department of Health and Social Care","D12","DHSC","Department of Health & Social Care|Department of Health"
"Ministerial department","Department of Health, Social Services and Public Safety","D746","",""
"Ministerial department","Department of Trade and Industry","D586","",""
"Ministerial department","Department of the Environment (Northern Ireland)","D591","","Department of the Environment"
"Ministerial department","Foreign & Commonwealth Office","D13","FCO","Foreign & Commonwealth Office"
"Ministerial department","HM Treasury","D15","HMT",""
"Ministerial department","Home Office","D16","Home Office",""
"Ministerial department","Ministry of Defence","D17","MOD","Ministry of Defence"
"Ministerial department","Ministry of Housing, Communities and Local Government","D4","DCLG|MHCLG","Department for Communities and Local Government|Ministry of Housing, Communities & Local Government|Ministry of Housing, Communities & Local Government"
"Ministerial department","Ministry of Justice","D18","MOJ","Ministry of Justice"
"Ministerial department","Northern Ireland Office","D19","NIO","Northern Ireland Office"
"Ministerial department","Office of the Advocate General for Scotland","D20","OAG","Office of the Advocate General for Scotland"
"Ministerial department","Office of the Leader of the House of Commons","D21","OLHC","Office of the Leader of the House of Commons"
"Ministerial department","Office of the Leader of the House of Lords","D22","OLHL","Office of the Leader of the House of Lords"
"Ministerial department","Office of the Secretary of State for Wales","D24","WO","Office of the Secretary of State for Wales Swyddfa Ysgrifennydd Gwladol Cymru"
"Ministerial department","Scotland Office","D23","","Office of the Secretary of State for Scotland"
"Ministerial department","UK Export Finance","D241","UKEF","UK Export Finance"
"Executive office","Prime Minister's Office, 10 Downing Street","OT532","Number 10",""
"Non-ministerial department","Competition and Markets Authority","D550","CMA","Competition and Markets Authority"
"Non-ministerial department","Crown Prosecution Service","D101","CPS",""
"Non-ministerial department","Food Standards Agency","D102","FSA",""
"Non-ministerial department","Forestry Commission","D85","Forestry",""
"Non-ministerial department","Government Actuary's Department","D103","GAD","Government Actuary's Department"
"Non-ministerial department","Government Legal Department","D1108","GLD","Government Legal Department"
"Non-ministerial department","HM Land Registry","D69","HM Land Registry",""
"Non-ministerial department","HM Revenue & Customs","D25","HMRC","HM Revenue & Customs"
"Non-ministerial department","NS&I","EA104","NS&I",""
"Non-ministerial department","National Crime Agency","PB558","NCA",""
"Non-ministerial department","Office of Rail and Road","D1117","ORR","Office of Rail and Road"
"Non-ministerial department","Ofgem","D108","",""
"Non-ministerial department","Ofqual","D109","Ofqual",""
"Non-ministerial department","Ofsted","D106","Ofsted",""
"Non-ministerial department","Serious Fraud Office","D115","SFO",""
"Non-ministerial department","Supreme Court of the United Kingdom","D435","SCUK","Supreme Court of the United Kingdom"
"Non-ministerial department","The Charity Commission","D98","Charity Commission","Charity Commission"
"Non-ministerial department","The National Archives","EA71","",""
"Non-ministerial department","The Water Services Regulation Authority","D240","Ofwat","Office for Water Services"
"Non-ministerial department","Treasury Solicitor’s Department","D30","TSol","Treasury Solicitor’s Department"
"Non-ministerial department","UK Statistics Authority","D116","Statistics",""
"Executive agency","Advantage West Midlands","EA927","",""
"Executive agency","Animal and Plant Health Agency","EA1079","APHA","Animal & Plant Health Agency"
"Executive agency","Appeals Service Agency","EA847","",""
"Executive agency","Arts Council of Northern Ireland","EA740","",""
"Executive agency","Centre for Environment, Fisheries and Aquaculture Science","EA53","Cefas","Centre for Environment Fisheries and Aquaculture Science"
"Executive agency","Companies House","EA26","Companies House",""
"Executive agency","Compensation Agency","EA707","",""
