Ethnicity,Standard Ethnicity
white - any other,White other
white - any other white background,White other
white - other,White other
white other,White other
white-other,White other
white: other,White other
white - british,White British
white - irish,White Irish
white - gypsy or irish traveller,White Gypsy/Traveller
white - other,White other
mixed/multiple ethnic groups - white and black caribbean,Mixed White/Black Caribbean
mixed/multiple ethnic groups - white and black african,Mixed White/Black African
mixed/multiple ethnic groups - white and asian,Mixed White/Asian
mixed/multiple ethnic groups - other,Mixed other
asian/asian british - indian,Indian
asian/asian british - pakistani,Pakistani
asian/asian british - bangladeshi,Bangladeshi
asian/asian british - chinese,Chinese
asian/asian british - other,Asian other
black african/caribbean/black british - african,Black African
black african/caribbean/black british - caribbean,Black Caribbean
black african/caribbean/black british - other,Black other
other ethnic group - arab,Arab
other ethnic group - any other,Any other
other/chinese,Other
other inc. chinese,Other
other (including chinese),Other
other  - chinese,Chinese
other  - any other,Any other
all groups,All
asian bangladeshi,Bangladeshi
asian chinese,Chinese
asian indian,Indian
asian pakistani,Pakistani
mixed and other,Other
other mixed,Mixed other
other black,Black other
other white,White other
other (including mixed),Other
mixed white/black,Mixed White/Black
ethnic minority (exc. white minorities),Other
ethnic minority (excl. white minorities),Other
ethnic minority (other than white ethnic minority),Other
all categories: ethnic group,All
white: white other,White other
white: white british,White British
white gypsy/traveller,White Gypsy/Traveller
pakistani/ bangladeshi,Pakistani and Bangladeshi
