,,Standard Ethnicity,Parent,Order
Aggregated ONS 2011,Gypsy/Roma,,,
Aggregated ONS 2011,Irish traveller,,,
Aggregated ONS 2011,White other,,,
Aggregated ONS 2011,White other than British,,,
Aggregated ONS 2011,Other,Other,Other,9000
Aggregated ONS 2011,Other inc Asian,,,
Aggregated ONS 2011,Other inc Chinese,,,
Aggregated ONS 2011,Other inc Mixed,,,
Aggregated ONS 2011,Other inc Mixed and Chinese,,,
Aggregated ONS 2011,Other (inc Gypsy/Traveller/Irish Traveller),,,
Aggregated ONS 2011,Other than White,,,
Aggregated ONS 2011,Other than White British,,,
Aggregated ONS 2011,Any other,,,
ONS 2001,All,All,All,0
ONS 2001,Unmatched,Unmatched,Unmatched,9991
ONS 2001,Not applicable,Not applicable,Not applicable,9999
ONS 2001,Unclassified,Unclassified,Unclassified,9990
ONS 2001,Unknown,Unknown,Unknown,9980
ONS 2001,Arab,,,
ONS 2001,Asian,Asian,Asian,1000
ONS 2001,Asian excluding Chinese,Asian,Asian,1000
ONS 2001,Bangladeshi,Bangladeshi,Asian,1100
ONS 2001,Chinese,Chinese,Other inc Chinese,1200
ONS 2001,Indian,Indian,Asian,1300
ONS 2001,Pakistani,Pakistani,Asian,1400
ONS 2001,Pakistani and Bangladeshi,,,
ONS 2001,Asian other,Asian other,Asian,1900
ONS 2001,Asian other inc Chinese,,,
ONS 2001,Black,Black,Black,2000
ONS 2001,Black African,Black African,Black,2100
ONS 2001,Black Caribbean,Black Caribbean,Black,2200
ONS 2001,Black other,Black other,Black,2900
ONS 2001,Mixed,Mixed,Mixed,3000
ONS 2001,Mixed White/Asian,Mixed White/Asian,Mixed,3100
ONS 2001,Mixed White/Black African,Mixed White/Black African,Mixed,3200
ONS 2001,Mixed White/Black Caribbean,Mixed White/Black Caribbean,Mixed,3300
ONS 2001,Mixed other,Mixed other,Mixed,3900
ONS 2001,White,White,White,4000
ONS 2001,White British,White British,White,4100
ONS 2001,White Irish,White Irish,White,4200
ONS 2001,White Gypsy/Traveller,,,
ONS 2001,Gypsy/Roma,,,
ONS 2001,Irish traveller,,,
ONS 2001,White other,White other,White,4900
ONS 2001,White other than British,,,
ONS 2001,Other,Other inc Chinese,Other inc Chinese,9020
ONS 2001,Other inc Asian,,,
ONS 2001,Other inc Chinese,Other inc Chinese,Other inc Chinese,9020
ONS 2001,Other inc Mixed,,,
ONS 2001,Other inc Mixed and Chinese,,,
ONS 2001,Other (inc Gypsy/Traveller/Irish Traveller),,,
ONS 2001,Other than White,,,
ONS 2001,Other than White British,,,
ONS 2001,Any other,Any other,Any other,9900
ONS 2011,All,All,All,0
ONS 2011,Unmatched,Unmatched,Unmatched,9991
ONS 2011,Not applicable,Not applicable,Not applicable,9999
ONS 2011,Unclassified,Unclassified,Unclassified,9990
ONS 2011,Unknown,Unknown,Unknown,9980
ONS 2011,Arab,Arab,Other,500
ONS 2011,Asian,Asian,Asian,1000
ONS 2011,Asian excluding Chinese,,,
