Preset,Standard,Display,Parent,Order,Required
"6 - Asian, Black African, Black Caribbean, Black other, White, Other - Aggregates",Black other,Black other,Black,2900,TRUE
"6 - Asian, Black African, Black Caribbean, Black other, White, Other - Aggregates",White,White,White,4000,TRUE
"6 - Asian, Black African, Black Caribbean, Black other, White, Other - Aggregates",Other,Other inc Mixed,Other inc Mixed,9000,TRUE
"6 - Asian, Black African, Black Caribbean, Black other, White, Other - Aggregates",Black,Black,Black,2000,
"6 - Asian, Black African, Black Caribbean, Black other, White, Other - Aggregates",Other inc Mixed,Other inc Mixed,Other inc Mixed,9000,
"6 - Asian, Black African, Black Caribbean, Black other, White, Other - Aggregates",All,All,All,0,
"6 - Asian, Black African, Black Caribbean, Black other, White, Other - Aggregates",Unknown,Unknown,Unknown,9980,
"6 - Asian, Black African, Black Caribbean, Black other, White, Other - Aggregates",Unclassified,Unclassified,Unclassified,9990,
"6 - Asian, Black African, Black Caribbean, Black other, White, Other - Aggregates",Unmatched,Unmatched,Unmatched,9991,
"6 - Asian, Black African, Black Caribbean, Black other, White, Other - Aggregates",Not applicable,Not applicable,Not applicable,9999,
"6 - Asian, Black African, Black Caribbean, Black other, White, Other",Asian,Asian,Asian,1000,TRUE
"6 - Asian, Black African, Black Caribbean, Black other, White, Other",Black African,Black African,Black African,2100,TRUE
"6 - Asian, Black African, Black Caribbean, Black other, White, Other",Black Caribbean,Black Caribbean,Black Caribbean,2200,TRUE
"6 - Asian, Black African, Black Caribbean, Black other, White, Other",Black other,Black other,Black other,2900,TRUE
"6 - Asian, Black African, Black Caribbean, Black other, White, Other",White,White,White,4000,TRUE
"6 - Asian, Black African, Black Caribbean, Black other, White, Other",Other,Other inc Mixed,Other inc Mixed,9000,TRUE
"6 - Asian, Black African, Black Caribbean, Black other, White, Other",Other inc Mixed,Other inc Mixed,Other inc Mixed,9000,
"6 - Asian, Black African, Black Caribbean, Black other, White, Other",All,All,All,0,
"6 - Asian, Black African, Black Caribbean, Black other, White, Other",Unknown,Unknown,Unknown,9980,
"6 - Asian, Black African, Black Caribbean, Black other, White, Other",Unclassified,Unclassified,Unclassified,9990,
"6 - Asian, Black African, Black Caribbean, Black other, White, Other",Unmatched,Unmatched,Unmatched,9991,
"6 - Asian, Black African, Black Caribbean, Black other, White, Other",Not applicable,Not applicable,Not applicable,9999,
"6 - Indian, Pakistani and Bangladeshi, Black, Mixed, White, Other",Indian,Indian,Indian,1300,TRUE
"6 - Indian, Pakistani and Bangladeshi, Black, Mixed, White, Other",Pakistani and Bangladeshi,Pakistani and Bangladeshi,Pakistani and Bangladeshi,1450,TRUE
"6 - Indian, Pakistani and Bangladeshi, Black, Mixed, White, Other",Black,Black,Black,2000,TRUE
"6 - Indian, Pakistani and Bangladeshi, Black, Mixed, White, Other",Mixed,Mixed,Mixed,3000,TRUE
