Code,Classification short name,Classification long name,Standard,Display,Parent,Order,Required
10B,Longitudinal education outcomes - 10,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black African, Black Caribbean, Black other, White, Other including Mixed",Not applicable,Not applicable,Not applicable,9999,
10B+,Longitudinal education outcomes - 10 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black African, Black Caribbean, Black other, White, Other including Mixed with broad categories",All,All,All,0,
10B+,Longitudinal education outcomes - 10 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black African, Black Caribbean, Black other, White, Other including Mixed with broad categories",Bangladeshi,Bangladeshi,Asian,1100,TRUE
10B+,Longitudinal education outcomes - 10 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black African, Black Caribbean, Black other, White, Other including Mixed with broad categories",Chinese,Chinese,Asian,1200,TRUE
10B+,Longitudinal education outcomes - 10 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black African, Black Caribbean, Black other, White, Other including Mixed with broad categories",Indian,Indian,Asian,1300,TRUE
10B+,Longitudinal education outcomes - 10 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black African, Black Caribbean, Black other, White, Other including Mixed with broad categories",Pakistani,Pakistani,Asian,1400,TRUE
10B+,Longitudinal education outcomes - 10 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black African, Black Caribbean, Black other, White, Other including Mixed with broad categories",Asian other,Asian other,Asian,1900,TRUE
10B+,Longitudinal education outcomes - 10 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black African, Black Caribbean, Black other, White, Other including Mixed with broad categories",Black African,Black African,Black,2100,TRUE
10B+,Longitudinal education outcomes - 10 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black African, Black Caribbean, Black other, White, Other including Mixed with broad categories",Black Caribbean,Black Caribbean,Black,2200,TRUE
10B+,Longitudinal education outcomes - 10 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black African, Black Caribbean, Black other, White, Other including Mixed with broad categories",Black other,Black other,Black,2900,TRUE
10B+,Longitudinal education outcomes - 10 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black African, Black Caribbean, Black other, White, Other including Mixed with broad categories",White,White,White,4000,TRUE
10B+,Longitudinal education outcomes - 10 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black African, Black Caribbean, Black other, White, Other including Mixed with broad categories",Other,Other inc Mixed,Other inc Mixed,9000,TRUE
10B+,Longitudinal education outcomes - 10 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black African, Black Caribbean, Black other, White, Other including Mixed with broad categories",Any other,Other inc Mixed,Other inc Mixed,9000,
10B+,Longitudinal education outcomes - 10 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black African, Black Caribbean, Black other, White, Other including Mixed with broad categories",Other inc Mixed,Other inc Mixed,Other inc Mixed,9000,
10B+,Longitudinal education outcomes - 10 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black African, Black Caribbean, Black other, White, Other including Mixed with broad categories",Asian,Asian,Asian,1000,
10B+,Longitudinal education outcomes - 10 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black African, Black Caribbean, Black other, White, Other including Mixed with broad categories",Black,Black,Black,2000,
10B+,Longitudinal education outcomes - 10 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black African, Black Caribbean, Black other, White, Other including Mixed with broad categories",Unknown,Unknown,Unknown,9980,
10B+,Longitudinal education outcomes - 10 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black African, Black Caribbean, Black other, White, Other including Mixed with broad categories",Unclassified,Unclassified,Unclassified,9990,
10B+,Longitudinal education outcomes - 10 - Aggregates,"Bangladeshi, Chinese, Indian, Pakistani, Asian other, Black African, Black Caribbean, Black other, White, Other including Mixed with broad categories",Unmatched,Unmatched,Unmatched,9991,
