Code,Classification short name,Classification long name,Standard,Display,Parent,Order,Required
16A,ONS 2001 - 16+1,Office for National Statistics detailed census categories 2001,Unmatched,Unmatched,Unmatched,9991,
16A,ONS 2001 - 16+1,Office for National Statistics detailed census categories 2001,Not applicable,Not applicable,Not applicable,9999,
18A,ONS 2011 - 18+1,Office for National Statistics detailed census categories 2011,Arab,Arab,Other,9100,TRUE
18A,ONS 2011 - 18+1,Office for National Statistics detailed census categories 2011,Bangladeshi,Bangladeshi,Asian,1100,TRUE
18A,ONS 2011 - 18+1,Office for National Statistics detailed census categories 2011,Chinese,Chinese,Asian,1200,TRUE
18A,ONS 2011 - 18+1,Office for National Statistics detailed census categories 2011,Indian,Indian,Asian,1300,TRUE
18A,ONS 2011 - 18+1,Office for National Statistics detailed census categories 2011,Pakistani,Pakistani,Asian,1400,TRUE
18A,ONS 2011 - 18+1,Office for National Statistics detailed census categories 2011,Asian other,Asian other,Asian,1900,TRUE
18A,ONS 2011 - 18+1,Office for National Statistics detailed census categories 2011,Black African,Black African,Black,2100,TRUE
18A,ONS 2011 - 18+1,Office for National Statistics detailed census categories 2011,Black Caribbean,Black Caribbean,Black,2200,TRUE
18A,ONS 2011 - 18+1,Office for National Statistics detailed census categories 2011,Black other,Black other,Black,2900,TRUE
18A,ONS 2011 - 18+1,Office for National Statistics detailed census categories 2011,Mixed White/Asian,Mixed White/Asian,Mixed,3100,TRUE
18A,ONS 2011 - 18+1,Office for National Statistics detailed census categories 2011,Mixed White/Black African,Mixed White/Black African,Mixed,3200,TRUE
18A,ONS 2011 - 18+1,Office for National Statistics detailed census categories 2011,Mixed White/Black Caribbean,Mixed White/Black Caribbean,Mixed,3300,TRUE
18A,ONS 2011 - 18+1,Office for National Statistics detailed census categories 2011,Mixed other,Mixed other,Mixed,3900,TRUE
18A,ONS 2011 - 18+1,Office for National Statistics detailed census categories 2011,White British,White British,White,4100,TRUE
18A,ONS 2011 - 18+1,Office for National Statistics detailed census categories 2011,White Irish,White Irish,White,4200,TRUE
18A,ONS 2011 - 18+1,Office for National Statistics detailed census categories 2011,White Gypsy/Traveller,White Gypsy/Traveller,White,4300,TRUE
18A,ONS 2011 - 18+1,Office for National Statistics detailed census categories 2011,White other,White other,White,4900,TRUE
18A,ONS 2011 - 18+1,Office for National Statistics detailed census categories 2011,Any other,Any other,Other,9900,TRUE
18A,ONS 2011 - 18+1,Office for National Statistics detailed census categories 2011,All,All,All,0,
18A,ONS 2011 - 18+1,Office for National Statistics detailed census categories 2011,Asian,Asian,Asian,1000,
18A,ONS 2011 - 18+1,Office for National Statistics detailed census categories 2011,Black,Black,Black,2000,
18A,ONS 2011 - 18+1,Office for National Statistics detailed census categories 2011,Mixed,Mixed,Mixed,3000,
18A,ONS 2011 - 18+1,Office for National Statistics detailed census categories 2011,White,White,White,4000,
18A,ONS 2011 - 18+1,Office for National Statistics detailed census categories 2011,Other,Other,Other,9000,
18A,ONS 2011 - 18+1,Office for National Statistics detailed census categories 2011,Unknown,Unknown,Unknown,9980,
18A,ONS 2011 - 18+1,Office for National Statistics detailed census categories 2011,Unclassified,Unclassified,Unclassified,9990,
18A,ONS 2011 - 18+1,Office for National Statistics detailed census categories 2011,Unmatched,Unmatched,Unmatched,9991,
18A,ONS 2011 - 18+1,Office for National Statistics detailed census categories 2011,Not applicable,Not applicable,Not applicable,9999,
18B,DfE - 18+1,ONS detailed census categories 2001 plus Gypsy or Roma and Irish Traveller,Bangladeshi,Bangladeshi,Asian,1100,TRUE
18B,DfE - 18+1,ONS detailed census categories 2001 plus Gypsy or Roma and Irish Traveller,Indian,Indian,Asian,1300,TRUE
18B,DfE - 18+1,ONS detailed census categories 2001 plus Gypsy or Roma and Irish Traveller,Pakistani,Pakistani,Asian,1400,TRUE
18B,DfE - 18+1,ONS detailed census categories 2001 plus Gypsy or Roma and Irish Traveller,Asian other,Asian other,Asian,1900,TRUE
18B,DfE - 18+1,ONS detailed census categories 2001 plus Gypsy or Roma and Irish Traveller,Black African,Black African,Black,2100,TRUE
18B,DfE - 18+1,ONS detailed census categories 2001 plus Gypsy or Roma and Irish Traveller,Black Caribbean,Black Caribbean,Black,2200,TRUE
18B,DfE - 18+1,ONS detailed census categories 2001 plus Gypsy or Roma and Irish Traveller,Black other,Black other,Black,2900,TRUE
18B,DfE - 18+1,ONS detailed census categories 2001 plus Gypsy or Roma and Irish Traveller,Chinese,Chinese,Chinese,2990,TRUE
18B,DfE - 18+1,ONS detailed census categories 2001 plus Gypsy or Roma and Irish Traveller,Mixed White/Asian,Mixed white and Asian,Mixed,3100,TRUE
18B,DfE - 18+1,ONS detailed census categories 2001 plus Gypsy or Roma and Irish Traveller,Mixed White/Black African,Mixed white and black African,Mixed,3200,TRUE
18B,DfE - 18+1,ONS detailed census categories 2001 plus Gypsy or Roma and Irish Traveller,Mixed White/Black Caribbean,Mixed white and black Caribbean,Mixed,3300,TRUE
18B,DfE - 18+1,ONS detailed census categories 2001 plus Gypsy or Roma and Irish Traveller,Mixed other,Mixed other,Mixed,3900,TRUE
18B,DfE - 18+1,ONS detailed census categories 2001 plus Gypsy or Roma and Irish Traveller,White British,White British,White,4100,TRUE
18B,DfE - 18+1,ONS detailed census categories 2001 plus Gypsy or Roma and Irish Traveller,White Irish,White Irish,White,4200,TRUE
18B,DfE - 18+1,ONS detailed census categories 2001 plus Gypsy or Roma and Irish Traveller,Gypsy/Roma,Gypsy or Roma,White,4310,TRUE
18B,DfE - 18+1,ONS detailed census categories 2001 plus Gypsy or Roma and Irish Traveller,Irish Traveller,Irish Traveller,White,4330,TRUE
18B,DfE - 18+1,ONS detailed census categories 2001 plus Gypsy or Roma and Irish Traveller,White other,White other,White,4900,TRUE
18B,DfE - 18+1,ONS detailed census categories 2001 plus Gypsy or Roma and Irish Traveller,Any other,Other,Other,9900,TRUE
18B,DfE - 18+1,ONS detailed census categories 2001 plus Gypsy or Roma and Irish Traveller,All,All,All,0,
18B,DfE - 18+1,ONS detailed census categories 2001 plus Gypsy or Roma and Irish Traveller,Asian,Asian,Asian,1000,
18B,DfE - 18+1,ONS detailed census categories 2001 plus Gypsy or Roma and Irish Traveller,Asian excluding Chinese,Asian,Asian,1000,
18B,DfE - 18+1,ONS detailed census categories 2001 plus Gypsy or Roma and Irish Traveller,Black,Black,Black,2000,
18B,DfE - 18+1,ONS detailed census categories 2001 plus Gypsy or Roma and Irish Traveller,Mixed,Mixed,Mixed,3000,
18B,DfE - 18+1,ONS detailed census categories 2001 plus Gypsy or Roma and Irish Traveller,White,White,White,4000,
18B,DfE - 18+1,ONS detailed census categories 2001 plus Gypsy or Roma and Irish Traveller,Other,Other,Other,9900,
18B,DfE - 18+1,ONS detailed census categories 2001 plus Gypsy or Roma and Irish Traveller,Other inc Chinese,Other,Other,9900,
18B,DfE - 18+1,ONS detailed census categories 2001 plus Gypsy or Roma and Irish Traveller,Unknown,Unknown,Unknown,9980,
18B,DfE - 18+1,ONS detailed census categories 2001 plus Gypsy or Roma and Irish Traveller,Unclassified,Unclassified,Unclassified,9990,
18B,DfE - 18+1,ONS detailed census categories 2001 plus Gypsy or Roma and Irish Traveller,Unmatched,Unmatched,Unmatched,9991,
18B,DfE - 18+1,ONS detailed census categories 2001 plus Gypsy or Roma and Irish Traveller,Not applicable,Not applicable,Not applicable,9999,
2A,White and Other than White,White and Other than White,White,White,White,4000,TRUE
2A,White and Other than White,White and Other than White,Other,Other than White,Other than White,9100,TRUE
2A,White and Other than White,White and Other than White,All,All,All,0,
2A,White and Other than White,White and Other than White,Other than White,Other than White,Other than White,9100,
2A,White and Other than White,White and Other than White,Any other,Other than White,Other than White,9100,
2A,White and Other than White,White and Other than White,Unknown,Unknown,Unknown,9980,
2A,White and Other than White,White and Other than White,Unclassified,Unclassified,Unclassified,9990,
2A,White and Other than White,White and Other than White,Unmatched,Unmatched,Unmatched,9991,
2A,White and Other than White,White and Other than White,Not applicable,Not applicable,Not applicable,9999,
2A,White and Other than White,White and Other than White,White and Other than White,White and Other than White,White and Other than White,9100,
2B,White British and Other,White British and Other,White British,White British,White British,4100,TRUE
2B,White British and Other,White British and Other,Other,Other than White British,Other than White British,9200,TRUE
2B,White British and Other,White British and Other,All,All,All,0,
2B,White British and Other,White British and Other,Other than White British,Other than White British,Other than White British,9200,
2B,White British and Other,White British and Other,Any other,Other than White British,Other than White British,9200,
2B,White British and Other,White British and Other,Unknown,Unknown,Unknown,9980,
2B,White British and Other,White British and Other,Unclassified,Unclassified,Unclassified,9990,
2B,White British and Other,White British and Other,Unmatched,Unmatched,Unmatched,9991,
2B,White British and Other,White British and Other,Not applicable,Not applicable,Not applicable,9999,
4A,"4 - Asian, Black, White, Other inc Mixed","Asian, Black, White, Other including Mixed",Asian,Asian,Asian,1000,TRUE
4A,"4 - Asian, Black, White, Other inc Mixed","Asian, Black, White, Other including Mixed",Black,Black,Black,2000,TRUE
4A,"4 - Asian, Black, White, Other inc Mixed","Asian, Black, White, Other including Mixed",White,White,White,4000,TRUE
4A,"4 - Asian, Black, White, Other inc Mixed","Asian, Black, White, Other including Mixed",Other,Other inc Mixed,Other inc Mixed,9030,TRUE
4A,"4 - Asian, Black, White, Other inc Mixed","Asian, Black, White, Other including Mixed",All,All,All,0,
4A,"4 - Asian, Black, White, Other inc Mixed","Asian, Black, White, Other including Mixed",Other inc Mixed,Other inc Mixed,Other inc Mixed,9030,
4A,"4 - Asian, Black, White, Other inc Mixed","Asian, Black, White, Other including Mixed",Unknown,Unknown,Unknown,9980,
4A,"4 - Asian, Black, White, Other inc Mixed","Asian, Black, White, Other including Mixed",Unclassified,Unclassified,Unclassified,9990,
4A,"4 - Asian, Black, White, Other inc Mixed","Asian, Black, White, Other including Mixed",Unmatched,Unmatched,Unmatched,9991,
4A,"4 - Asian, Black, White, Other inc Mixed","Asian, Black, White, Other including Mixed",Not applicable,Not applicable,Not applicable,9999,
4B,"4 - Black, Mixed, White, Other inc Asian","Black, Mixed, White, Other including Asian",Black,Black,Black,2000,TRUE
4B,"4 - Black, Mixed, White, Other inc Asian","Black, Mixed, White, Other including Asian",Mixed,Mixed,Mixed,3000,TRUE
4B,"4 - Black, Mixed, White, Other inc Asian","Black, Mixed, White, Other including Asian",White,White,White,4000,TRUE
4B,"4 - Black, Mixed, White, Other inc Asian","Black, Mixed, White, Other including Asian",Other,Other inc Asian,Other inc Asian,9030,TRUE
4B,"4 - Black, Mixed, White, Other inc Asian","Black, Mixed, White, Other including Asian",All,All,All,0,
4B,"4 - Black, Mixed, White, Other inc Asian","Black, Mixed, White, Other including Asian",Other inc Asian,Other inc Asian,Other inc Asian,9030,
4B,"4 - Black, Mixed, White, Other inc Asian","Black, Mixed, White, Other including Asian",Unknown,Unknown,Unknown,9980,
4B,"4 - Black, Mixed, White, Other inc Asian","Black, Mixed, White, Other including Asian",Unclassified,Unclassified,Unclassified,9990,
4B,"4 - Black, Mixed, White, Other inc Asian","Black, Mixed, White, Other including Asian",Unmatched,Unmatched,Unmatched,9991,
4B,"4 - Black, Mixed, White, Other inc Asian","Black, Mixed, White, Other including Asian",Not applicable,Not applicable,Not applicable,9999,
5A,ONS 2001 - 5+1,"Asian, Black, Mixed, White, Other including Chinese",Asian,Asian,Asian,1000,TRUE
5A,ONS 2001 - 5+1,"Asian, Black, Mixed, White, Other including Chinese",Black,Black,Black,2000,TRUE
5A,ONS 2001 - 5+1,"Asian, Black, Mixed, White, Other including Chinese",Mixed,Mixed,Mixed,3000,TRUE
5A,ONS 2001 - 5+1,"Asian, Black, Mixed, White, Other including Chinese",White,White,White,4000,TRUE
5A,ONS 2001 - 5+1,"Asian, Black, Mixed, White, Other including Chinese",Chinese,Other inc Chinese,Other inc Chinese,9020,TRUE
5A,ONS 2001 - 5+1,"Asian, Black, Mixed, White, Other including Chinese",All,All,All,0,
5A,ONS 2001 - 5+1,"Asian, Black, Mixed, White, Other including Chinese",Other,Other inc Chinese,Other inc Chinese,9020,
5A,ONS 2001 - 5+1,"Asian, Black, Mixed, White, Other including Chinese",Other inc Chinese,Other inc Chinese,Other inc Chinese,9020,
5A,ONS 2001 - 5+1,"Asian, Black, Mixed, White, Other including Chinese",Unknown,Unknown,Unknown,9980,
5A,ONS 2001 - 5+1,"Asian, Black, Mixed, White, Other including Chinese",Unclassified,Unclassified,Unclassified,9990,
5A,ONS 2001 - 5+1,"Asian, Black, Mixed, White, Other including Chinese",Unmatched,Unmatched,Unmatched,9991,
5A,ONS 2001 - 5+1,"Asian, Black, Mixed, White, Other including Chinese",Not applicable,Not applicable,Not applicable,9999,
5B,ONS 2011 - 5+1,"Asian, Black, Mixed, White, Other",Asian,Asian,Asian,1000,TRUE
5B,ONS 2011 - 5+1,"Asian, Black, Mixed, White, Other",Black,Black,Black,2000,TRUE
5B,ONS 2011 - 5+1,"Asian, Black, Mixed, White, Other",Mixed,Mixed,Mixed,3000,TRUE
5B,ONS 2011 - 5+1,"Asian, Black, Mixed, White, Other",White,White,White,4000,TRUE
5B,ONS 2011 - 5+1,"Asian, Black, Mixed, White, Other",Other,Other,Other,9000,TRUE
5B,ONS 2011 - 5+1,"Asian, Black, Mixed, White, Other",All,All,All,0,
5B,ONS 2011 - 5+1,"Asian, Black, Mixed, White, Other",Unknown,Unknown,Unknown,9980,
5B,ONS 2011 - 5+1,"Asian, Black, Mixed, White, Other",Unclassified,Unclassified,Unclassified,9990,
5B,ONS 2011 - 5+1,"Asian, Black, Mixed, White, Other",Unmatched,Unmatched,Unmatched,9991,
5B,ONS 2011 - 5+1,"Asian, Black, Mixed, White, Other",Not applicable,Not applicable,Not applicable,9999,
5C,"5 - Asian, Black, White British, White other, Other inc Mixed","Asian, Black, White British, White other, Other including Mixed",Asian,Asian,Asian,1000,TRUE
5C,"5 - Asian, Black, White British, White other, Other inc Mixed","Asian, Black, White British, White other, Other including Mixed",Black,Black,Black,2000,TRUE
5C,"5 - Asian, Black, White British, White other, Other inc Mixed","Asian, Black, White British, White other, Other including Mixed",White British,White British,White,4100,TRUE
5C,"5 - Asian, Black, White British, White other, Other inc Mixed","Asian, Black, White British, White other, Other including Mixed",White other,White other,White,4910,TRUE
5C,"5 - Asian, Black, White British, White other, Other inc Mixed","Asian, Black, White British, White other, Other including Mixed",Other,Other inc Mixed,Other inc Mixed,9030,TRUE
5C,"5 - Asian, Black, White British, White other, Other inc Mixed","Asian, Black, White British, White other, Other including Mixed",All,All,All,0,
5C,"5 - Asian, Black, White British, White other, Other inc Mixed","Asian, Black, White British, White other, Other including Mixed",Other inc Mixed,Other inc Mixed,Other inc Mixed,9030,
5C,"5 - Asian, Black, White British, White other, Other inc Mixed","Asian, Black, White British, White other, Other including Mixed",Unknown,Unknown,Unknown,9980,
5C,"5 - Asian, Black, White British, White other, Other inc Mixed","Asian, Black, White British, White other, Other including Mixed",Unclassified,Unclassified,Unclassified,9990,
5C,"5 - Asian, Black, White British, White other, Other inc Mixed","Asian, Black, White British, White other, Other including Mixed",Unmatched,Unmatched,Unmatched,9991,
5C,"5 - Asian, Black, White British, White other, Other inc Mixed","Asian, Black, White British, White other, Other including Mixed",Not applicable,Not applicable,Not applicable,9999,
6A,DfE - 6+1,"Asian, Black, Chinese, Mixed, White, Other",Asian,Asian,Asian,1000,TRUE
6A,DfE - 6+1,"Asian, Black, Chinese, Mixed, White, Other",Black,Black,Black,2000,TRUE
6A,DfE - 6+1,"Asian, Black, Chinese, Mixed, White, Other",Mixed,Mixed,Mixed,3000,TRUE
6A,DfE - 6+1,"Asian, Black, Chinese, Mixed, White, Other",White,White,White,4000,TRUE
6A,DfE - 6+1,"Asian, Black, Chinese, Mixed, White, Other",Chinese,Chinese,Chinese,2900,TRUE
6A,DfE - 6+1,"Asian, Black, Chinese, Mixed, White, Other",All,All,All,0,
6A,DfE - 6+1,"Asian, Black, Chinese, Mixed, White, Other",Other,Other,Other,9000,
6A,DfE - 6+1,"Asian, Black, Chinese, Mixed, White, Other",Unknown,Unknown,Unknown,9980,
6A,DfE - 6+1,"Asian, Black, Chinese, Mixed, White, Other",Unclassified,Unclassified,Unclassified,9990,
6A,DfE - 6+1,"Asian, Black, Chinese, Mixed, White, Other",Unmatched,Unmatched,Unmatched,9991,
6A,DfE - 6+1,"Asian, Black, Chinese, Mixed, White, Other",Not applicable,Not applicable,Not applicable,9999,
6B,"6 - Asian, Black, Mixed, White British, White other, Other","Asian, Black, Mixed, White British, White other, Other",Asian,Asian,Asian,1000,TRUE
6B,"6 - Asian, Black, Mixed, White British, White other, Other","Asian, Black, Mixed, White British, White other, Other",Black,Black,Black,2000,TRUE
6B,"6 - Asian, Black, Mixed, White British, White other, Other","Asian, Black, Mixed, White British, White other, Other",Mixed,Mixed,Mixed,3000,TRUE
6B,"6 - Asian, Black, Mixed, White British, White other, Other","Asian, Black, Mixed, White British, White other, Other",White British,White British,White British,4100,TRUE
6B,"6 - Asian, Black, Mixed, White British, White other, Other","Asian, Black, Mixed, White British, White other, Other",White other,White other,White other,4910,TRUE
6B,"6 - Asian, Black, Mixed, White British, White other, Other","Asian, Black, Mixed, White British, White other, Other",Other,Other,Other,9000,TRUE
6B,"6 - Asian, Black, Mixed, White British, White other, Other","Asian, Black, Mixed, White British, White other, Other",All,All,All,0,
6B,"6 - Asian, Black, Mixed, White British, White other, Other","Asian, Black, Mixed, White British, White other, Other",Unknown,Unknown,Unknown,9980,
6B,"6 - Asian, Black, Mixed, White British, White other, Other","Asian, Black, Mixed, White British, White other, Other",Unclassified,Unclassified,Unclassified,9990,
6B,"6 - Asian, Black, Mixed, White British, White other, Other","Asian, Black, Mixed, White British, White other, Other",Unmatched,Unmatched,Unmatched,9991,
6B,"6 - Asian, Black, Mixed, White British, White other, Other","Asian, Black, Mixed, White British, White other, Other",Not applicable,Not applicable,Not applicable,9999,
6B+,"6 - Asian, Black, Mixed, White British, White other, Other - Aggregates","Asian, Black, Mixed, White British, White other, Other with broad categories",Asian,Asian,Asian,1000,TRUE
6B+,"6 - Asian, Black, Mixed, White British, White other, Other - Aggregates","Asian, Black, Mixed, White British, White other, Other with broad categories",Black,Black,Black,2000,TRUE
6B+,"6 - Asian, Black, Mixed, White British, White other, Other - Aggregates","Asian, Black, Mixed, White British, White other, Other with broad categories",Mixed,Mixed,Mixed,3000,TRUE
6B+,"6 - Asian, Black, Mixed, White British, White other, Other - Aggregates","Asian, Black, Mixed, White British, White other, Other with broad categories",White British,White British,White,4100,TRUE
6B+,"6 - Asian, Black, Mixed, White British, White other, Other - Aggregates","Asian, Black, Mixed, White British, White other, Other with broad categories",White other,White other,White,4910,TRUE
6B+,"6 - Asian, Black, Mixed, White British, White other, Other - Aggregates","Asian, Black, Mixed, White British, White other, Other with broad categories",Other,Other,Other,9000,TRUE
6B+,"6 - Asian, Black, Mixed, White British, White other, Other - Aggregates","Asian, Black, Mixed, White British, White other, Other with broad categories",White,White,White,4000,
6B+,"6 - Asian, Black, Mixed, White British, White other, Other - Aggregates","Asian, Black, Mixed, White British, White other, Other with broad categories",All,All,All,0,
6B+,"6 - Asian, Black, Mixed, White British, White other, Other - Aggregates","Asian, Black, Mixed, White British, White other, Other with broad categories",Unknown,Unknown,Unknown,9980,
6B+,"6 - Asian, Black, Mixed, White British, White other, Other - Aggregates","Asian, Black, Mixed, White British, White other, Other with broad categories",Unclassified,Unclassified,Unclassified,9990,
6B+,"6 - Asian, Black, Mixed, White British, White other, Other - Aggregates","Asian, Black, Mixed, White British, White other, Other with broad categories",Unmatched,Unmatched,Unmatched,9991,
6B+,"6 - Asian, Black, Mixed, White British, White other, Other - Aggregates","Asian, Black, Mixed, White British, White other, Other with broad categories",Not applicable,Not applicable,Not applicable,9999,
6C,"6 - Asian, Black African, Black Caribbean, Black other, White, Other","Asian, Black African, Black Caribbean, Black other, White, Other including mixed",Asian,Asian,Asian,1000,TRUE
6C,"6 - Asian, Black African, Black Caribbean, Black other, White, Other","Asian, Black African, Black Caribbean, Black other, White, Other including mixed",Black African,Black African,Black African,2100,TRUE
6C,"6 - Asian, Black African, Black Caribbean, Black other, White, Other","Asian, Black African, Black Caribbean, Black other, White, Other including mixed",Black Caribbean,Black Caribbean,Black Caribbean,2200,TRUE
6C,"6 - Asian, Black African, Black Caribbean, Black other, White, Other","Asian, Black African, Black Caribbean, Black other, White, Other including mixed",Black other,Black other,Black other,2900,TRUE
6C,"6 - Asian, Black African, Black Caribbean, Black other, White, Other","Asian, Black African, Black Caribbean, Black other, White, Other including mixed",White,White,White,4000,TRUE
6C,"6 - Asian, Black African, Black Caribbean, Black other, White, Other","Asian, Black African, Black Caribbean, Black other, White, Other including mixed",Other,Other inc Mixed,Other inc Mixed,9000,TRUE
6C,"6 - Asian, Black African, Black Caribbean, Black other, White, Other","Asian, Black African, Black Caribbean, Black other, White, Other including mixed",Other inc Mixed,Other inc Mixed,Other inc Mixed,9000,
6C,"6 - Asian, Black African, Black Caribbean, Black other, White, Other","Asian, Black African, Black Caribbean, Black other, White, Other including mixed",All,All,All,0,
6C,"6 - Asian, Black African, Black Caribbean, Black other, White, Other","Asian, Black African, Black Caribbean, Black other, White, Other including mixed",Unknown,Unknown,Unknown,9980,
6C,"6 - Asian, Black African, Black Caribbean, Black other, White, Other","Asian, Black African, Black Caribbean, Black other, White, Other including mixed",Unclassified,Unclassified,Unclassified,9990,
6C,"6 - Asian, Black African, Black Caribbean, Black other, White, Other","Asian, Black African, Black Caribbean, Black other, White, Other including mixed",Unmatched,Unmatched,Unmatched,9991,
6C,"6 - Asian, Black African, Black Caribbean, Black other, White, Other","Asian, Black African, Black Caribbean, Black other, White, Other including mixed",Not applicable,Not applicable,Not applicable,9999,
6C+,"6 - Asian, Black African, Black Caribbean, Black other, White, Other - Aggregates","Asian, Black African, Black Caribbean, Black other, White, Other including mixed with broad categories",Asian,Asian,Asian,1000,TRUE
6C+,"6 - Asian, Black African, Black Caribbean, Black other, White, Other - Aggregates","Asian, Black African, Black Caribbean, Black other, White, Other including mixed with broad categories",Black African,Black African,Black,2100,TRUE
6C+,"6 - Asian, Black African, Black Caribbean, Black other, White, Other - Aggregates","Asian, Black African, Black Caribbean, Black other, White, Other including mixed with broad categories",Black Caribbean,Black Caribbean,Black,2200,TRUE
6C+,"6 - Asian, Black African, Black Caribbean, Black other, White, Other - Aggregates","Asian, Black African, Black Caribbean, Black other, White, Other including mixed with broad categories",Black other,Black other,Black,2900,TRUE
6C+,"6 - Asian, Black African, Black Caribbean, Black other, White, Other - Aggregates","Asian, Black African, Black Caribbean, Black other, White, Other including mixed with broad categories",White,White,White,4000,TRUE
6C+,"6 - Asian, Black African, Black Caribbean, Black other, White, Other - Aggregates","Asian, Black African, Black Caribbean, Black other, White, Other including mixed with broad categories",Other,Other inc Mixed,Other inc Mixed,9000,TRUE
6C+,"6 - Asian, Black African, Black Caribbean, Black other, White, Other - Aggregates","Asian, Black African, Black Caribbean, Black other, White, Other including mixed with broad categories",Black,Black,Black,2000,
6C+,"6 - Asian, Black African, Black Caribbean, Black other, White, Other - Aggregates","Asian, Black African, Black Caribbean, Black other, White, Other including mixed with broad categories",Other inc Mixed,Other inc Mixed,Other inc Mixed,9000,
6C+,"6 - Asian, Black African, Black Caribbean, Black other, White, Other - Aggregates","Asian, Black African, Black Caribbean, Black other, White, Other including mixed with broad categories",All,All,All,0,
6C+,"6 - Asian, Black African, Black Caribbean, Black other, White, Other - Aggregates","Asian, Black African, Black Caribbean, Black other, White, Other including mixed with broad categories",Unknown,Unknown,Unknown,9980,
6C+,"6 - Asian, Black African, Black Caribbean, Black other, White, Other - Aggregates","Asian, Black African, Black Caribbean, Black other, White, Other including mixed with broad categories",Unclassified,Unclassified,Unclassified,9990,
6C+,"6 - Asian, Black African, Black Caribbean, Black other, White, Other - Aggregates","Asian, Black African, Black Caribbean, Black other, White, Other including mixed with broad categories",Unmatched,Unmatched,Unmatched,9991,
6C+,"6 - Asian, Black African, Black Caribbean, Black other, White, Other - Aggregates","Asian, Black African, Black Caribbean, Black other, White, Other including mixed with broad categories",Not applicable,Not applicable,Not applicable,9999,
6D,"6 - Indian, Pakistani and Bangladeshi, Black, Mixed, White, Other","Indian, Pakistani and Bangladeshi, Black, Mixed, White, Other",Indian,Indian,Indian,1300,TRUE
6D,"6 - Indian, Pakistani and Bangladeshi, Black, Mixed, White, Other","Indian, Pakistani and Bangladeshi, Black, Mixed, White, Other",Pakistani and Bangladeshi,Pakistani and Bangladeshi,Pakistani and Bangladeshi,1450,TRUE
6D,"6 - Indian, Pakistani and Bangladeshi, Black, Mixed, White, Other","Indian, Pakistani and Bangladeshi, Black, Mixed, White, Other",Black,Black,Black,2000,TRUE
6D,"6 - Indian, Pakistani and Bangladeshi, Black, Mixed, White, Other","Indian, Pakistani and Bangladeshi, Black, Mixed, White, Other",Mixed,Mixed,Mixed,3000,TRUE
6D,"6 - Indian, Pakistani and Bangladeshi, Black, Mixed, White, Other","Indian, Pakistani and Bangladeshi, Black, Mixed, White, Other",White,White,White,4000,TRUE
6D,"6 - Indian, Pakistani and Bangladeshi, Black, Mixed, White, Other","Indian, Pakistani and Bangladeshi, Black, Mixed, White, Other",Other inc Mixed and Chinese,Other inc Mixed and Chinese,Other inc Mixed and Chinese,9040,TRUE
6D,"6 - Indian, Pakistani and Bangladeshi, Black, Mixed, White, Other","Indian, Pakistani and Bangladeshi, Black, Mixed, White, Other",Other inc Mixed,Other inc Mixed and Chinese,Other inc Mixed and Chinese,9040,
6D,"6 - Indian, Pakistani and Bangladeshi, Black, Mixed, White, Other","Indian, Pakistani and Bangladeshi, Black, Mixed, White, Other",Other,Other inc Mixed and Chinese,Other inc Mixed and Chinese,9040,
6D,"6 - Indian, Pakistani and Bangladeshi, Black, Mixed, White, Other","Indian, Pakistani and Bangladeshi, Black, Mixed, White, Other",All,All,All,0,
6D,"6 - Indian, Pakistani and Bangladeshi, Black, Mixed, White, Other","Indian, Pakistani and Bangladeshi, Black, Mixed, White, Other",Unknown,Unknown,Unknown,9980,
6D,"6 - Indian, Pakistani and Bangladeshi, Black, Mixed, White, Other","Indian, Pakistani and Bangladeshi, Black, Mixed, White, Other",Unclassified,Unclassified,Unclassified,9990,
6D,"6 - Indian, Pakistani and Bangladeshi, Black, Mixed, White, Other","Indian, Pakistani and Bangladeshi, Black, Mixed, White, Other",Unmatched,Unmatched,Unmatched,9991,
6D,"6 - Indian, Pakistani and Bangladeshi, Black, Mixed, White, Other","Indian, Pakistani and Bangladeshi, Black, Mixed, White, Other",Not applicable,Not applicable,Not applicable,9999,
7A,"7 - Asian, Black, Chinese, Mixed, White British, White other, Other","Asian, Black, Chinese, Mixed, White British, White other, Other",Asian,Asian,Asian,1000,TRUE
7A,"7 - Asian, Black, Chinese, Mixed, White British, White other, Other","Asian, Black, Chinese, Mixed, White British, White other, Other",Chinese,Chinese,Chinese,2900,TRUE
7A,"7 - Asian, Black, Chinese, Mixed, White British, White other, Other","Asian, Black, Chinese, Mixed, White British, White other, Other",Black,Black,Black,2000,TRUE
7A,"7 - Asian, Black, Chinese, Mixed, White British, White other, Other","Asian, Black, Chinese, Mixed, White British, White other, Other",Mixed,Mixed,Mixed,3000,TRUE
7A,"7 - Asian, Black, Chinese, Mixed, White British, White other, Other","Asian, Black, Chinese, Mixed, White British, White other, Other",White British,White British,White British,4100,TRUE
7A,"7 - Asian, Black, Chinese, Mixed, White British, White other, Other","Asian, Black, Chinese, Mixed, White British, White other, Other",White other,White other,White other,4910,TRUE
7A,"7 - Asian, Black, Chinese, Mixed, White British, White other, Other","Asian, Black, Chinese, Mixed, White British, White other, Other",Other,Other,Other,9000,TRUE
7A,"7 - Asian, Black, Chinese, Mixed, White British, White other, Other","Asian, Black, Chinese, Mixed, White British, White other, Other",All,All,All,0,
